Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
Australia,A1,13/02/09,Brisbane Roar ,Central Coast Mariners,2,1
Australia,A1,14/02/09,Melbourne Victory ,Adelaide United,4,0
Australia,A1,21/02/09,Adelaide United ,Brisbane Roar,1,0
Australia,A1,28/02/09,Melbourne Victory ,Adelaide United,1,0
Australia,A1,06/08/09,Melbourne Victory,Central Coast Mariners,0,2
Australia,A1,07/08/09,Adelaide United,Perth Glory,1,0
Australia,A1,08/08/09,Brisbane Roar,Gold Coast,1,3
Australia,A1,08/08/09,North Queensland,Sydney FC,2,3
Australia,A1,09/08/09,Newcastle Jets,Wellington Phoenix,3,2
Australia,A1,14/08/09,Central Coast Mariners,Newcastle Jets,1,1
Australia,A1,15/08/09,Melbourne Victory,Brisbane Roar,3,3
Australia,A1,15/08/09,Gold Coast,North Queensland,5,0
Australia,A1,16/08/09,Sydney FC,Adelaide United,1,0
Australia,A1,16/08/09,Wellington Phoenix,Perth Glory,2,1
Australia,A1,21/08/09,Adelaide United,Gold Coast,0,2
Australia,A1,22/08/09,North Queensland,Melbourne Victory,0,1
Australia,A1,22/08/09,Central Coast Mariners,Sydney FC,0,0
Australia,A1,23/08/09,Perth Glory,Newcastle Jets,2,0
Australia,A1,23/08/09,Brisbane Roar,Wellington Phoenix,1,1
Australia,A1,28/08/09,Perth Glory,Melbourne Victory,2,1
Australia,A1,28/08/09,Adelaide United,North Queensland,3,3
Australia,A1,29/08/09,Brisbane Roar,Central Coast Mariners,1,0
Australia,A1,30/08/09,Sydney FC,Wellington Phoenix,2,0
Australia,A1,30/08/09,Newcastle Jets,Gold Coast,1,0
Australia,A1,03/09/09,Melbourne Victory,Newcastle Jets,1,1
Australia,A1,04/09/09,Central Coast Mariners,Perth Glory,2,1
Australia,A1,04/09/09,Wellington Phoenix,Adelaide United,1,1
Australia,A1,05/09/09,North Queensland,Brisbane Roar,1,1
Australia,A1,05/09/09,Gold Coast,Sydney FC,2,1
Australia,A1,11/09/09,Adelaide United,Central Coast Mariners,1,0
Australia,A1,12/09/09,Sydney FC,North Queensland,0,1
Australia,A1,12/09/09,Newcastle Jets,Brisbane Roar,0,3
Australia,A1,13/09/09,Perth Glory,Gold Coast,2,2
Australia,A1,13/09/09,Melbourne Victory,Wellington Phoenix,1,1
Australia,A1,18/09/09,Adelaide United,Melbourne Victory,0,2
Australia,A1,19/09/09,Central Coast Mariners,Gold Coast,3,0
Australia,A1,20/09/09,Brisbane Roar,Perth Glory,2,4
Australia,A1,20/09/09,Sydney FC,Newcastle Jets,2,1
Australia,A1,20/09/09,Wellington Phoenix,North Queensland,1,1
Australia,A1,25/09/09,Newcastle Jets,Perth Glory,0,1
Australia,A1,26/09/09,Gold Coast,Melbourne Victory,2,3
Australia,A1,27/09/09,North Queensland,Adelaide United,0,2
Australia,A1,27/09/09,Brisbane Roar,Sydney FC,1,0
Australia,A1,27/09/09,Wellington Phoenix,Central Coast Mariners,0,0
Australia,A1,02/10/09,Gold Coast,Wellington Phoenix,0,0
Australia,A1,03/10/09,Melbourne Victory,Brisbane Roar,2,1
Australia,A1,03/10/09,Perth Glory,North Queensland,1,1
Australia,A1,05/10/09,Adelaide United,Newcastle Jets,1,1
Australia,A1,05/10/09,Sydney FC,Central Coast Mariners,1,0
Australia,A1,09/10/09,Perth Glory,Adelaide United,1,0
Australia,A1,09/10/09,Melbourne Victory,Sydney FC,0,3
