Country,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG
SaudiArabia,SPL,08/11/02,Al-Ittihad FC,Al-Ettifaq,3,1
SaudiArabia,SPL,09/11/02,Al Ahli SC,Al Riyadh,3,0
SaudiArabia,SPL,09/11/02,Al Najma,Al-Raed,1,2
SaudiArabia,SPL,09/11/02,Al-Shoalah,Al Nasr Riyadh,1,3
SaudiArabia,SPL,14/11/02,Al-Hilal,Al Shabab,2,1
SaudiArabia,SPL,14/11/02,Al-Raed,Al-Shoalah,0,4
SaudiArabia,SPL,15/11/02,Al Riyadh,Al-Ittihad FC,1,2
SaudiArabia,SPL,15/11/02,Al Taee,Al Najma,2,1
SaudiArabia,SPL,15/11/02,Al-Ettifaq,Al Qadisiya,1,2
SaudiArabia,SPL,18/11/02,Al-Hilal,Al-Shoalah,0,0
SaudiArabia,SPL,21/11/02,Al Shabab,Al-Ettifaq,0,0
SaudiArabia,SPL,22/11/02,Al Nasr Riyadh,Al-Ittihad FC,2,4
SaudiArabia,SPL,22/11/02,Al Qadisiya,Al Riyadh,1,0
SaudiArabia,SPL,23/11/02,Al Najma,Al-Hilal,1,2
SaudiArabia,SPL,23/11/02,Al-Shoalah,Al Taee,3,1
SaudiArabia,SPL,11/12/02,Al Najma,Al-Shoalah,1,1
SaudiArabia,SPL,11/12/02,Al Nasr Riyadh,Al Qadisiya,1,2
SaudiArabia,SPL,11/12/02,Al Taee,Al Ahli SC,1,1
SaudiArabia,SPL,11/12/02,Al-Ittihad FC,Al-Raed,3,2
SaudiArabia,SPL,12/12/02,Al Riyadh,Al Shabab,0,3
SaudiArabia,SPL,12/12/02,Al-Hilal,Al-Ettifaq,3,1
SaudiArabia,SPL,16/12/02,Al Ahli SC,Al Najma,3,1
SaudiArabia,SPL,16/12/02,Al Qadisiya,Al-Raed,2,2
SaudiArabia,SPL,16/12/02,Al Shabab,Al Nasr Riyadh,2,2
SaudiArabia,SPL,16/12/02,Al-Shoalah,Al-Hilal,1,3
SaudiArabia,SPL,17/12/02,Al-Ettifaq,Al Riyadh,1,0
SaudiArabia,SPL,17/12/02,Al-Ittihad FC,Al Taee,1,1
SaudiArabia,SPL,20/12/02,Al-Raed,Al Shabab,1,3
SaudiArabia,SPL,20/12/02,Al-Shoalah,Al Ahli SC,3,3
SaudiArabia,SPL,21/12/02,Al Najma,Al-Ittihad FC,1,4
SaudiArabia,SPL,21/12/02,Al Nasr Riyadh,Al-Ettifaq,0,0
SaudiArabia,SPL,21/12/02,Al Taee,Al Qadisiya,0,3
SaudiArabia,SPL,22/12/02,Al Riyadh,Al-Hilal,1,1
SaudiArabia,SPL,24/12/02,Al-Raed,Al Ahli SC,0,5
SaudiArabia,SPL,26/12/02,Al Shabab,Al Taee,1,0
SaudiArabia,SPL,26/12/02,Al-Ittihad FC,Al-Shoalah,1,3
SaudiArabia,SPL,27/12/02,Al Qadisiya,Al Najma,1,0
SaudiArabia,SPL,27/12/02,Al Riyadh,Al Nasr Riyadh,0,3
SaudiArabia,SPL,28/12/02,Al Ahli SC,Al-Hilal,0,1
SaudiArabia,SPL,28/12/02,Al-Ettifaq,Al-Raed,4,0
SaudiArabia,SPL,02/01/03,Al Ahli SC,Al-Ittihad FC,1,4
SaudiArabia,SPL,02/01/03,Al Najma,Al Shabab,1,3
SaudiArabia,SPL,02/01/03,Al-Shoalah,Al Qadisiya,0,0
SaudiArabia,SPL,03/01/03,Al Taee,Al-Ettifaq,3,2
SaudiArabia,SPL,03/01/03,Al-Hilal,Al Nasr Riyadh,1,1
SaudiArabia,SPL,03/01/03,Al-Raed,Al Riyadh,3,1
SaudiArabia,SPL,09/01/03,Al Qadisiya,Al Ahli SC,3,2
SaudiArabia,SPL,09/01/03,Al Shabab,Al-Shoalah,4,2
SaudiArabia,SPL,10/01/03,Al Riyadh,Al Taee,1,1
SaudiArabia,SPL,11/01/03,Al Nasr Riyadh,Al-Raed,6,1
SaudiArabia,SPL,11/01/03,Al-Ettifaq,Al Najma,4,2
SaudiArabia,SPL,12/01/03,Al-Ittihad FC,Al-Hilal,1,1
SaudiArabia,SPL,16/01/03,Al Nasr Riyadh,Al Taee,4,1
SaudiArabia,SPL,17/01/03,Al Riyadh,Al Najma,2,0
SaudiArabia,SPL,18/01/03,Al-Ettifaq,Al-Shoalah,1,1
SaudiArabia,SPL,18/01/03,Al-Raed,Al-Hilal,1,1
SaudiArabia,SPL,23/01/03,Al-Hilal,Al Qadisiya,2,1
SaudiArabia,SPL,23/01/03,Al-Shoalah,Al Riyadh,1,1
SaudiArabia,SPL,24/01/03,Al Najma,Al Nasr Riyadh,0,6
SaudiArabia,SPL,24/01/03,Al Taee,Al-Raed,0,0
SaudiArabia,SPL,07/02/03,Al-Raed,Al Najma,3,0
SaudiArabia,SPL,09/02/03,Al Nasr Riyadh,Al-Shoalah,3,1
SaudiArabia,SPL,09/02/03,Al Qadisiya,Al Shabab,1,1
SaudiArabia,SPL,10/02/03,Al Riyadh,Al Ahli SC,0,3
SaudiArabia,SPL,10/02/03,Al-Ettifaq,Al-Ittihad FC,1,2
